team_key,team_name,team_code,association
123,Madagascar,MAD,CAF
124,Malawi,MWI,CAF
125,Malaysia,MAS,AFC
126,Maldives,MDV,AFC
127,Mali,MLI,CAF
128,Malta,MLT,UEFA
129,Mauritania,MTN,CAF
130,Mauritius,MRI,CAF
131,Mexico,MEX,CONCACAF
132,Moldova,MDA,UEFA
133,Mongolia,MNG,AFC
134,Montenegro,MNE,UEFA
135,Montserrat,MSR,CONCACAF
136,Morocco,MAR,CAF
137,Mozambique,MOZ,CAF
138,Myanmar,MYA,AFC
139,Namibia,NAM,CAF
140,Nepal,NEP,AFC
141,Netherlands,NED,UEFA
142,New Caledonia,NCL,OFC
143,New Zealand,NZL,OFC
144,Nicaragua,NCA,CONCACAF
145,Niger,NIG,CAF
146,Nigeria,NGA,CAF
147,North Macedonia,MKD,UEFA
148,Northern Ireland,NIR,UEFA
149,Norway,NOR,UEFA
150,Oman,OMA,AFC
151,Pakistan,PAK,AFC
152,Palestine,PLE,AFC
153,Panama,PAN,CONCACAF
154,Papua New Guinea,PNG,OFC
155,Paraguay,PAR,CONMEBOL
156,Peru,PER,CONMEBOL
157,Philippines,PHI,AFC
158,Poland,POL,UEFA
159,Portugal,POR,UEFA
160,Puerto Rico,PUR,CONCACAF
161,Qatar,QAT,AFC
162,Republic of Ireland,IRL,UEFA
163,Romania,ROU,UEFA
164,Russia,RUS,UEFA
165,Rwanda,RWA,CAF
166,Samoa,SAM,OFC
167,San Marino,SMR,UEFA
168,Saudi Arabia,KSA,AFC
169,Scotland,SCO,UEFA
170,Senegal,SEN,CAF
171,Serbia,SRB,UEFA
172,Serbia and Montenegro,,Historical / not currently FIFA-ranked
173,Seychelles,SEY,CAF
174,Sierra Leone,SLE,CAF
175,Singapore,SGP,AFC
176,Slovakia,SVK,UEFA
177,Slovenia,SVN,UEFA
178,Solomon Islands,SOL,OFC
179,Somalia,SOM,CAF
180,South Africa,RSA,CAF
181,South Korea,,Historical / not currently FIFA-ranked
182,South Sudan,SSD,CAF
183,Soviet Union,,Historical / not currently FIFA-ranked
184,Spain,ESP,UEFA
185,Sri Lanka,SRI,AFC
186,St Kitts and Nevis,SKN,CONCACAF
187,St Lucia,LCA,CONCACAF
188,St Vincent and the Grenadines,VIN,CONCACAF
189,Sudan,SDN,CAF
190,Suriname,SUR,CONCACAF
191,Sweden,SWE,UEFA
192,Switzerland,SUI,UEFA
193,Syria,SYR,AFC
194,São Tomé and Príncipe,STP,CAF
195,Tahiti,TAH,OFC
196,Tajikistan,TJK,AFC
197,Tanzania,TAN,CAF
198,Thailand,THA,AFC
199,The Gambia,GAM,CAF
200,Timor-Leste,TLS,AFC
201,Togo,TOG,CAF
202,Tonga,TGA,OFC
203,Trinidad and Tobago,TRI,CONCACAF
204,Tunisia,TUN,CAF
205,Turkmenistan,TKM,AFC
206,Turks and Caicos Islands,TCA,CONCACAF
207,Türkiye,TUR,UEFA
208,US Virgin Islands,VIR,CONCACAF
209,Uganda,UGA,CAF
210,Ukraine,UKR,UEFA
211,United Arab Emirates,UAE,AFC
212,United States,USA,CONCACAF
213,Uruguay,URU,CONMEBOL
214,Uzbekistan,UZB,AFC
215,Vanuatu,VAN,OFC
216,Venezuela,VEN,CONMEBOL
217,Vietnam,VIE,AFC
218,Wales,WAL,UEFA
219,West Germany,,Historical / not currently FIFA-ranked
220,Yemen,YEM,AFC
221,Yugoslavia,,Historical / not currently FIFA-ranked
222,Zaire,,Historical / not currently FIFA-ranked
223,Zambia,ZAM,CAF
224,Zimbabwe,ZIM,CAF
